faction,title,description,usewhen,effect,skulls
Covenant,Ghost Ambush Executed,A forward operating Ghost strike team cuts off any chance of retreat,After an opponent declares an invasion against you,The invasion cannot be called off until your opponent wins or is no longer able to attack,1
Covenant,Grunt Reinforcements,Heavy Grunt reinforcement squads arrive en masse,After an opponent declares an invasion against you,"Roll one die.
Add that many units to your invaded territory",1
Covenant,Jackal Scout Teams,Jackal scouts make a surprise appearance on the battlefield,After an opponent declares an invasion against you,"Roll one die.
Add that many units to your invaded territory",1
Covenant,Overshield,Covenant defenders get a surprise defensive edge,After an opponent declares an invasion against you,Add 1 to all of your defense dice for the duration of this invasion,2
Covenant,Living Tanks,"Hunter squads set up a blockade, cutting off enemy movement","After an opponent has finished their invasions, but before they maneuver","Name an enemy territory.
Your opponent may not move units on, off, or through the territory during fortification",1
Covenant,Call In A Phantom,The Covenant Commander moves to a more advantageous position on the battlefield,Anytime,Execute a high-altitude deployment. You may move your Hero to any territory you control,2
Covenant,Jackal Snipers,Jackal Snipers temporarily incapacitate a high value enemy target,Anytime,"Choose an enemy Hero.
Roll one die.
If you roll 3 or higher, remove the Hero from play until the start of that player's next turn",1
Covenant,Base Relocation,The Covenant transfer their forward operating base,At the start of your turn,"You may relocate your command center, even if it is under enemy control",2
Covenant,Seraph Fighter Assault,Airborne strike initiated by Seraph fighter groups devastates eemy forces,At the start of your turn,"Choose a region.
Destroy 1 enemy unit in each territory that has more than 1 unit",1
Covenant,Treacherous Technology,The Covenant takes advantage of a Forerunner artifact to gain the upper hand,At the start of your turn,"Choose an opponent.
Randomly discard 1 Faction card from the opponent's hand",1
Covenant,Plasma Bombardment,Wraith tanks rain destruction from range with a plasma mortar bombardment,Before declaring an invasion,"Name an enemy territory.
You may invade that territory from any 1 territory you control, regardless of any connections between them",2
Covenant,Scarab Destruction,The Covenant deploys a heavily armed Scarab battle platform,Before declaring an invasion,Add 2 to all of your attack dice for the duration of this invasion,2
Covenant,Wrath of the Forerunners,Covenant Engineers improve Covenant weapons with recovered Forerunner technology,Before declaring an invasion,Add 1 to all of your attack dice for the duration of this invasion,1
Covenant,Banshee Strike,Banshee squadron catches enemies off guard with a punishing aerial bombardment,When an opponent has declared a battle with another opponent,"Both territories involved lose 2 units.
One unit must remain on both territories",1
Flood,Infectious Betrayal,"Enemy forces are overwhelmed by the Flood, transforming into monsters before their friends' eyes",After an opponent declares an invasion against you,"Remove up to 2 units from the attacking force.
Add 2 of your units to the defending territory",1
